id,Extractor,Identifier,Title,Venue,Year,Exclude,SR,SD,SC,ST,SM,SCM,SEM,SEP,SEMM,SQ,SEPP,SEE,CF,MF,EF,Theory,Cognitive Concepts,Cognitive Measures,Assessment,Added Value of Cognitive Aspect,Academia,Industry,Solution Proposal (example),Empirical Study,Experience Papers,Philosophical Papers,Opinion Papers,Unnamed: 34,Attention,Selective attention,Divided attention,Sustained attention,Memory,Working memory,Short-term memory,Long-term memory,Cognitive load,Intrinsic CL,Extrinsic CL,Emotion,Motivation,Intrinsic motivation,Extrinsic motivation,Stress,Reward,Appr. avoid. motiv.,Arousal,Attitude,Perception,Problem solving,Reasoning,Decision making,Errors,Cognitive biases,Knowledge,Explicit knowledge,Tacit knowledge,Techn. tacit knowl.,Cogn. tacit knowl.,Cognitive control,Executive functions,Inhibition,Unnamed: 69,Qualit. measures,Fieldwork,Interview,Task-based,Open observation,Quantit. measures,Task performance,Physiological meas.,Subjective ratings,Behavioral meas.
0,Michael U.,Abrahao2013,Assessing the effectiveness of sequence diagrams in the comprehension of functional requirements: results from a family of five experiments, IEEE Trans. Softw. Eng. ,2013,,1,,,,,,,,,,,,,,,,Comprehension ,None,Questionnaire assessing the understanding,Not discussed.,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
1,Michael U.,Adelson1981, Problem solving and the development of abstract categories in programming languages,Memory and Cognition,1981,,,,1,,,,,,,,,,,,,,Knowledge structuring and memory,Not sure... organization/conceptualization of information?,"Free recall. Program code was presented, line by line and in random order to participants. The cognitive process of structuring that information was then measuring by looking at the order and chunks in which the lines were recalled.",Central to the paper,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,
2,Michael U.,Agarwal1996a, Cognitive Fit in Requirements Modeling: A Study of Object and Process Methodologies,J. Management Information Systems,1996,,,1,,,,,,,,,,,,,,,Cognitive fit (match of task and tool for problem solving),Task performance,Scoring scheme that assessed the produced solutions.,Central to the paper,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,
3,Michael U.,Agarwal1996b,The Role of Prior Experience and Task Characteristics in Object-Oriented Modeling: An Empirical Study, Int'l J. Human Computer Studies,1996,,,1,,,,,,,,,,,,,,,Cognitive processes in problem solving activities. Impact of cognitive fit and experience on performance.,Task performance,Scoring scheme that assessed the produced solutions.,Central to the paper,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,
4,Robert,Agarwal1999,Comprehending object and process models: An empirical study,,1999,,,1,1,,,,,,,,,,,,,Human information processing (Newell & Simon),"Human problem solving, structural vs procedural, cognitive fit",Comprehension based on structural or procedural solution,Measured comprehension by specific questions relating to the programming task at hand.,Motivation for experiment.,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,
5,Fabian F.,Alexandron2014,"Scenario-based programming: Reducing the cognitive load, fostering abstract thinking","36th International Conference on Software Engineering, ICSE Companion 2014 - Proceedings",2014,,,,1,,,,,,,,,,,,,Cognitive load,Abstraction / level of abstraction,Use of abstraction / levels of abstraction,Qualitative analysis of interviews,Central to the study,1,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
6,Michael F.,Anu2016,Effectiveness of human error taxonomy during requirements inspection: An empirical investigation,"Proceedings of the International Conference on Software Engineering and Knowledge Engineering, SEKE",2016,,1,,,,,,,,,,,,,,,Human Error Taxonomy,"Cognitive Failures (Mistakes, Slips, Lapses)","Effectiveness (Faults)
Efficiency (Faults/Hour)","Counting of faults
Questionnaire",Effectivesness of Human Error Taxonomies during Requirements Inspection; applying an error taxonomy that takes cognitive aspects into account,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
7,Michael U.,Aranda2005,Anchoring and adjustment in software estimation,ESEC/FSE'05 - Proceedings of the Joint 10th European Software Engineering Conference (ESEC) and 13th ACM SIGSOFT Symposium on the Foundations of Software Engineering (FSE-13),2005,,,,,,,,1,,,,,,,,,,"Cognitive biases, in particular anchoring and adjustment bias.",Influence of anchor on estimation ,"Task based (estimate, confidence interval, estimation method)",Central to the paper.,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,
8,Michael U.,Aranda2005,A Cognitive-Based Approach to Improve Distributed Requirement Elicitation Processes,4th IEEE International Conference on Cognitive Informatics,2005,,1,,,,,,,,,,,,,,,Felder-Silverman learning style model,Learning style,"Categories of learning preferences: sensing/intuitive, visual/verbal, active/reflective, sequential/global",multiple-choice test,Central to the paper,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
9,Michael F.,Aranda2005a,Towards a cognitive-based approach to distributed requirement elicitation processes,"WER 2005 - 8th Workshop on Requirements Engineering, Workshop em Engenharia de Requisitos",2005,,1,,,,,,,,,,,,,,,,Felder-Silverman Learning Style Model,"Classification of people into 
Sensing / Intuitive;
Visual / Verbal;
Active / Reflective;
Sequential / Global","Measurement of personal preferences based learning style on scale Very (V), Moderately (M) and Slightly (S)",cognitive-based model for distributed requirements elicitation,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
10,Fabian F.,Aranda2006,Cognitive-based rules as a means to select suitable groupware tools,"Proceedings of the 5th IEEE International Conference on Cognitive Informatics, ICCI 2006",2006,,1,,,,,,1,,,,,,,,,Jung's theory of psychological types,"Learning style models (LSM)
LSM based on Felder-Silverman model","Learning style
Preferences regarding groupware tools",Questionnaire (learning style + groupware tool preferences),Used to inform the creation of a method,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
11,Fabian F.,Aranda2006b,Technology selection to improve global collaboration,"Proceedings - 2006 IEEE International Conference on Global Software Engineering, ICGSE 2006",2006,,1,,,,,,1,,,,,,,,,Cognitive styles,"Learning style models (LSM)
LSM based on Felder-Sivlerman model","Learning style
Preferences regarding groupware tools and requirement elicitation techniques",Questionnaire (learning style + groupware tool and requirement elicitation technique preferences),Used to inform the creation of a method,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
12,Michael U.,Aranda2010,Applying strategies to recommend groupware tools according to cognitive characteristics of a team,Studies in Computational Intelligence,2010,,1,,,,,,,,,,1,,,,,Learning Style Models (LMS) classify people according to a set of behavioral characteristics. Model used in this paper is the Felder-Silverman (FS) model.,Cognitive style (defined by the FS-LMS dimensions),Satisfaction of communication and produced SRS.,"Questionnaire, 0 (very bad)-4(very good)",Central to the paper,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
13,Bogdan M.,Armstrong2007,Understanding mindshift learning: the transition to object-oriented development,Management Information Systems,2007,,,,1,,,,,,,,,,,,,Mindshift Learning Theory,mindshift,"Concept Knowledge, Concept Organization",7-point Likert scale,Central to the paper,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,
14,Bogdan M.,Arnott2006,"Cognitive biases and decision support
systems development: a design science
approach",Information Systems Journal,2006,,,1,1,,,,1,,1,,,,,,,Cognitive Bias,"Cognitive Biases, Debiasing",,"Biases identified, but not assessed",Central to the paper,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
15,Robert,Austrem2011,Using EUREQA for end-user UML model development through design patterns,Journal of Software,2011,,,1,,,,,,,,,,,,,,,"Cognitive load, cognitive gap","No, qualitative study",,"""Addressing cognitive gap"" is key research question for paper. Several cognitive constructs also in results from analysis of audio/video recordings during empirical study. (table 1)",1,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Robert,Ballis2008,A minimalist visual notation for design patterns and antipatterns,"Proceedings - International Conference on Information Technology: New Generations, ITNG 2008",2008,,,1,,,,,,,,,,,,,,,Cognitive load,,,"The authors ""beleive the proposed solution has low cognitive load"" but no further evidence or effect on paper.",1,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Michael U.,Barik2015,Commit Bubbles,Proceedings - International Conference on Software Engineering,2015,,,,1,,,,,,,,,,,,,,Cognitive effort,None,None,Touched upon but not really in the center.,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Bogdan M.,Bednarik2006,An eye-tracking methodology for characterizing program comprehension processes,Symposium on Eye Tracking Research & Applications,2006,,,,,,1,,,,,,,,,,,,Program comprehension.,"Ratios of fixation counts, attention switching, and fixation durations between the main representations of a program",Ratio of fixation counts.,Central to the paper,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1
19,Bogdan M.,Bednarik2008,Temporal Eye-Tracking Data: Evolution of Debugging Strategies with Multiple Representations,Symposium on Eye Tracking Research & Applications,2008,,,,,,1,,,,,,,,,,,,"Attention, Program respresentation","The proportional fixation time on each area of interest (AOI), frequency of visual attention switches be-
tween the areas, and the type of switch",,Central to the paper,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20,Fabian F.,Belk2013,"Modeling users on the World Wide Web based on cognitive factors, navigation behavior and clustering techniques",Journal of Systems and Software,2013,,1,1,,,,,,,,,,,,,,Cognitive style theory,Cognitive styles,Cognitive style,Riding's CSA test,Cognitive style is hypothesised to be related to user interface navigation behaviour.,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1
21,Fabian F.,Benbasat1982,Behavioral Aspects of information processing for the design of management information systems,"IEEE Transactions on Systems, Man and Cybernetics",1982,,1,,,,,,,,,,,,,,,Several,"Decision-making/judgement, cognitive bias, cognitive complexity, individual differences (cognitive style, personality)",N/A,N/A,Theoretical demonstration of how cognitive aspects should inform the design of information systems,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
22,Michael F.,Biegel2015,Code Basket: Making Developers' Mental Model Visible and Explorable,2015 IEEE/ACM 2nd International Workshop on Context for Software Development,2015,,,,1,,,,,,,,,,,,,,Mental Model,Graph structure of source code,"Visualisation by developer,
formative study",Improvement of navigation to source code entities by externalized mental models,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,
23,Fabian F.,Biehl2007,Fastdash: A visual dashboard for fostering awareness in software teams,Proc. of the Conf. on Human Factors in Computing Systems,2007,,,1,1,,1,,,,,,,,,,,None,Awareness,Awareness (of the actions of other programmers) (Also: subjective satisfaction with tool),"Coding of observations (using contstructed code scheme), Situation Awareness Rating Test (SART), (satisfaction questionnaire)",Central to the study,,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
24,Fabian F.,Binkley2002,An empirical study of the effect of semantic differences on program comprehension,Proc. Int. Worksh. on Prog. Compr. (IWPC),2002,,,,1,,1,,,,,,,,,,,None,(Program) comprehension,Program comprehension,Comprehension task (experiment),Central to the study,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,
25,Michael F.,Blackwell2002,Applying attention investment to end-user programming,"Proceedings - IEEE 2002 Symposia on Human Centric Computing Languages and Environments, HCC 2002",2002,,,,1,,,,,,,,,,,,,Attention Investment,Attention,,,improvement of end user programming,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Michael F.,Breaux2012,Towards a framework for pattern experimentation: Understanding empirical validity in requirements engineering patterns,"2012 2nd IEEE International Workshop on Requirements Patterns, RePa 2012 - Proceedings",2012,,1,,,,,,,,,,,,,,,Category Theory,long-term memory,,,motivation for need of patterns,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
27,Michael U.,Briggs2002,EasyWinWin: Managing complexity in requirements negotiation with GSS,Proceedings of the Annual Hawaii International Conference on System Sciences,2002,,1,,,,,,,,,,,,,,,Classification of sources for task complexity,Cognitive load,None,None,"Marginally, as an applied concept, but not as a studied concept.",,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Michael F.,Brooks1983,Towards a theory of the comprehension of computer programs,International Journal of Man-Machine Studies,1983,,,,1,,,,,,,,,,,,,,"Domain Knowledge
Comprehension",,,"Explanation (1) why programs differ in comprehensibility, (2) how task differences affect comprehension, and (3)  why programmers differ in their ability to comprehend programs",,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
29,Michael F.,Browne2002,Improving information requirements determination a cognitive perspective,Information & Management,2002,,1,,,,,,,,,,,,,,,Requirements Determination Process Model,Cognitive Biases,"Ease of recall
Insensitivity of sample size
Insensitivity of base rates
Insufficient anchor adjustment
Overconfidence",Questions for each measure (Table 4),improvement of requirements determination by understanding human cognition and behavior,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,
